round,mode,implementation,state,perf_profile,footprint_bytes,seed
2,prefetch_chain,scalar,warm,branch,7340032,24303
2,prefetch_chain,scalar,warm,branch,6291456,24303
2,prefetch_chain,scalar,warm,branch,33554432,24303
2,prefetch_chain,scalar,cache_evicted,branch,32768,28399
2,prefetch_chain,scalar,cache_evicted,basic,33554432,28399
2,prefetch_chain,scalar,warm,basic,98304,24303
2,prefetch_chain,scalar,warm,branch,8192,24303
2,prefetch_chain,scalar,warm,branch,524288,24303
2,prefetch_chain,scalar,warm,branch,98304,24303
2,prefetch_chain,scalar,warm,branch,24576,24303
2,prefetch_chain,scalar,warm,basic,294912,24303
2,prefetch_chain,scalar,cache_evicted,basic,536870912,28399
2,prefetch_chain,scalar,cache_evicted,branch,536870912,28399
2,prefetch_chain,scalar,warm,branch,2097152,24303
2,prefetch_chain,scalar,warm,branch,196608,24303
2,prefetch_chain,scalar,warm,branch,393216,24303
2,prefetch_chain,scalar,warm,branch,1048576,24303
2,prefetch_chain,scalar,warm,branch,294912,24303
2,prefetch_chain,scalar,cache_evicted,basic,32768,28399
2,prefetch_chain,scalar,warm,basic,33554432,24303
2,prefetch_chain,scalar,warm,basic,5242880,24303
2,prefetch_chain,scalar,warm,basic,12582912,24303
2,prefetch_chain,scalar,warm,basic,524288,24303
2,prefetch_chain,scalar,warm,branch,262144,24303
2,prefetch_chain,scalar,warm,basic,28672,24303
2,prefetch_chain,scalar,warm,basic,7340032,24303
2,prefetch_chain,scalar,cache_evicted,branch,6291456,28399
2,prefetch_chain,scalar,warm,basic,16384,24303
2,prefetch_chain,scalar,warm,basic,131072,24303
2,prefetch_chain,scalar,warm,branch,65536,24303
2,prefetch_chain,scalar,cache_evicted,branch,1048576,28399
2,prefetch_chain,scalar,cache_evicted,branch,33554432,28399
2,prefetch_chain,scalar,cache_evicted,basic,262144,28399
2,prefetch_chain,scalar,warm,basic,536870912,24303
2,prefetch_chain,scalar,warm,basic,24576,24303
2,prefetch_chain,scalar,warm,branch,131072,24303
2,prefetch_chain,scalar,warm,branch,36864,24303
