sample_id,event,value,unit,time_enabled,time_running
r01-o091-cpp-scalar-string16-1048576,instructions,4831854976,count,919631723,919631723
r01-o091-cpp-scalar-string16-1048576,ref-cycles,2018394114,count,919631723,919631723
r01-o092-rust-scalar-double-32768,cycles,806602508,count,367514397,367514397
r01-o092-rust-scalar-double-32768,instructions,1074069787,count,367514397,367514397
r01-o092-rust-scalar-double-32768,ref-cycles,806602500,count,367514397,367514397
r01-o093-c-scalar-int-32768,cycles,684844876,count,312067393,312067393
r01-o093-c-scalar-int-32768,instructions,2147811658,count,312067393,312067393
r01-o093-c-scalar-int-32768,ref-cycles,684844886,count,312067393,312067393
r01-o094-c-avx2-float-1048576,cycles,205318543,count,93576454,93576454
r01-o094-c-avx2-float-1048576,instructions,268534119,count,93576454,93576454
r01-o094-c-avx2-float-1048576,ref-cycles,205318542,count,93576454,93576454
r01-o095-c-scalar-string16-262144,cycles,2013596034,count,917444566,917444566
r01-o095-c-scalar-string16-262144,instructions,4831904128,count,917444566,917444566
r01-o095-c-scalar-string16-262144,ref-cycles,2013596046,count,917444566,917444566
r01-o096-cpp-avx2-double-262144,cycles,202715973,count,92390947,92390947
r01-o096-cpp-avx2-double-262144,instructions,268607873,count,92390947,92390947
r01-o096-cpp-avx2-double-262144,ref-cycles,202715986,count,92390947,92390947
r01-o097-rust-avx2-double-32768,cycles,199000550,count,90696759,90696759
r01-o097-rust-avx2-double-32768,instructions,403767573,count,90696759,90696759
r01-o097-rust-avx2-double-32768,ref-cycles,199000560,count,90696759,90696759
r01-o098-cpp-scalar-int-1048576,cycles,699042441,count,318509450,318509450
r01-o098-cpp-scalar-int-1048576,instructions,2147494217,count,318509450,318509450
r01-o098-cpp-scalar-int-1048576,ref-cycles,699042432,count,318509450,318509450
r01-o099-cpp_native-scalar-short-1048576,cycles,1396415735,count,636260943,636260943
r01-o099-cpp_native-scalar-short-1048576,instructions,4294981906,count,636260943,636260943
r01-o099-cpp_native-scalar-short-1048576,ref-cycles,1396415746,count,636260943,636260943
r01-o100-c-scalar-double-8388608,cycles,868033383,count,395505706,395505706
r01-o100-c-scalar-double-8388608,instructions,1073743999,count,395505706,395505706
r01-o100-c-scalar-double-8388608,ref-cycles,868033342,count,395505706,395505706
r01-o101-rust_unroll-u2-float-8388608,cycles,1668801591,count,760363516,760363516
r01-o101-rust_unroll-u2-float-8388608,instructions,3221228312,count,760363516,760363516
r01-o101-rust_unroll-u2-float-8388608,ref-cycles,1668801596,count,760363516,760363516
r01-o102-rust-scalar-int-67108864,cycles,785975545,count,358122451,358122451
r01-o102-rust-scalar-int-67108864,instructions,2147484092,count,358122451,358122451
r01-o102-rust-scalar-int-67108864,ref-cycles,785975542,count,358122451,358122451
r01-o103-rust-avx2-short-8388608,cycles,305736151,count,139354484,139354484
r01-o103-rust-avx2-short-8388608,instructions,402664474,count,139354484,139354484
r01-o103-rust-avx2-short-8388608,ref-cycles,305736156,count,139354484,139354484
r01-o104-rust-avx2-float-67108864,cycles,370377339,count,168782079,168782079
r01-o104-rust-avx2-float-67108864,instructions,402654264,count,168782079,168782079
r01-o104-rust-avx2-float-67108864,ref-cycles,370377326,count,168782079,168782079
r01-o105-rust-avx2-int-1048576,cycles,186977251,count,85213866,85213866
r01-o105-rust-avx2-int-1048576,instructions,402708761,count,85213866,85213866
r01-o105-rust-avx2-int-1048576,ref-cycles,186977230,count,85213866,85213866
r01-o106-rust_unroll-u8-float-1048576,cycles,1610694286,count,733883205,733883205
r01-o106-rust_unroll-u8-float-1048576,instructions,2415937818,count,733883205,733883205
r01-o106-rust_unroll-u8-float-1048576,ref-cycles,1610694316,count,733883205,733883205
r01-o107-cpp_native-scalar-double-67108864,cycles,853211895,count,388756121,388756121
r01-o107-cpp_native-scalar-double-67108864,instructions,671089233,count,388756121,388756121
r01-o107-cpp_native-scalar-double-67108864,ref-cycles,853211920,count,388756121,388756121
r01-o108-rust-scalar-int-262144,cycles,692826909,count,315678636,315678636
r01-o108-rust-scalar-int-262144,instructions,2147524892,count,315678636,315678636
r01-o108-rust-scalar-int-262144,ref-cycles,692826926,count,315678636,315678636
r01-o109-cpp-avx2-double-67108864,cycles,360198630,count,164178081,164178081
r01-o109-cpp-avx2-double-67108864,instructions,268436515,count,164178081,164178081
r01-o109-cpp-avx2-double-67108864,ref-cycles,360198652,count,164178081,164178081
r01-o110-rust_unroll-u8-double-262144,cycles,805373150,count,366954898,366954898
r01-o110-rust_unroll-u8-double-262144,instructions,1208033559,count,366954898,366954898
r01-o110-rust_unroll-u8-double-262144,ref-cycles,805373118,count,366954898,366954898
r01-o111-go-scalar-short-262144,cycles,1606817651,count,733490944,733490944
r01-o111-go-scalar-short-262144,instructions,5368835256,count,733490944,733490944
r01-o111-go-scalar-short-262144,ref-cycles,1606818488,count,733490944,733490944
r01-o112-c-avx2-float-8388608,cycles,315115070,count,143606419,143606419
r01-o112-c-avx2-float-8388608,instructions,268448103,count,143606419,143606419
r01-o112-c-avx2-float-8388608,ref-cycles,315115108,count,143606419,143606419
r01-o113-cpp-scalar-short-8388608,cycles,1473995945,count,671611058,671611058
r01-o113-cpp-scalar-short-8388608,instructions,4294968879,count,671611058,671611058
r01-o113-cpp-scalar-short-8388608,ref-cycles,1473995952,count,671611058,671611058
r01-o114-c-avx2-double-67108864,cycles,360499521,count,164283837,164283837
r01-o114-c-avx2-double-67108864,instructions,268436513,count,164283837,164283837
r01-o114-c-avx2-double-67108864,ref-cycles,360499480,count,164283837,164283837
r01-o115-cpp-scalar-string16-67108864,cycles,2095693813,count,954846532,954846532
r01-o115-cpp-scalar-string16-67108864,instructions,4831838847,count,954846532,954846532
r01-o115-cpp-scalar-string16-67108864,ref-cycles,2095693820,count,954846532,954846532
r01-o116-cpp_unroll-u1-float-1048576,cycles,1610666920,count,733844906,733844906
r01-o116-cpp_unroll-u1-float-1048576,instructions,2147498257,count,733844906,733844906
