mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
timer_only,warm,none,3,0,1,0,0,76,129,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add_latency,warm,expanded,3,0,12000000,128,1536000000,1091295946,497192616,4,4,0,0,4608000001,764545960,497245716,247230426,932340447,497246013,297230967,740391916,497244862,347227213,8392630,497243307,347258460,17,497241118,347751627,1086736543,497237741,348766553,1088888825,497233702,349742968,147589058,497228987,199478697,148989760,497224383,198493585,155918560,497219895,197480819
add_throughput_1,warm,basic,3,0,12000000,128,1536000000,1083154572,493483335,4,4,0,0,4608000001,1540556867,493505489,493505489,1560000676,493503583,493503583,1060729032,493502810,493502810,12000272,493501559,493501559,26,493499406,493499406,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,12000000,128,1536000000,1083226676,493516197,4,4,0,0,4608000001,1540539066,493546736,493546736,1560000674,493544881,493544881,1060881316,493543951,493543951,12000272,493542783,493542783,27,493531459,493531459,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,3,0,12000000,128,1536000000,1092407926,497699445,4,4,0,0,9257036380270100488,1540739410,497732955,497732955,1560000702,497733933,497733933,1069517702,497733957,497733957,12000272,497722401,497722401,36,497720485,497720485,,,,,,,,,,,,,,,
xor_throughput,warm,basic,3,0,12000000,128,1536000000,278808348,127024734,4,4,0,0,0,397185140,127045364,127045364,1560000702,127043441,127043441,273352024,127042345,127042345,12000272,127040862,127040862,71,127038434,127038434,,,,,,,,,,,,,,,
empty,warm,basic,3,0,8,0,0,124,117,4,4,0,0,0,1581,18514,18514,690,17521,17521,1628,16280,16280,280,14651,14651,31,12414,12414,,,,,,,,,,,,,,,
shift_throughput,warm,basic,3,0,12000000,128,1536000000,547805347,249579355,4,4,0,0,0,776303290,249604306,249604306,1560000702,249603477,249603477,536634208,249602803,249602803,12000272,249601295,249601295,28,249598967,249598967,,,,,,,,,,,,,,,
empty,warm,basic,3,0,800,0,0,604,336,4,4,0,0,0,2292,18718,18718,2274,17763,17763,2266,16700,16700,1072,15096,15096,31,12895,12895,,,,,,,,,,,,,,,
imul_latency,warm,basic,3,0,12000000,128,1536000000,3254967606,1482957495,4,4,0,0,5482421456486662145,4620403071,1482978068,1482978068,1560000674,1482979733,1482979733,3193900468,1482979681,1482979681,12000272,1482978733,1482978733,79,1482976810,1482976810,,,,,,,,,,,,,,,
page_state_probe,warm,basic,3,0,1,0,0,27208,12563,4,4,3,0,130560,44368,45489,45489,6842,42509,42509,31834,40882,40882,1305,38831,38831,59,36199,36199,,,,,,,,,,,,,,,
xor_break,warm,basic,3,0,12000000,384,4608000000,1083007062,493416576,4,4,0,0,1,1540217632,493437375,493437375,4632000674,493438742,493438742,1062416388,493438424,493438424,12000272,493437366,493437366,38,493435927,493435927,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,3,0,12000000,128,1536000000,280148064,127635168,4,4,0,0,4608000008,397229999,127658418,127658418,1560000703,127656543,127656543,274387168,127655683,127655683,12000272,127654032,127654032,27,127651756,127651756,,,,,,,,,,,,,,,
shift_latency,warm,basic,3,0,12000000,128,1536000000,1156989388,527122588,4,4,0,0,0,1538671998,527147449,527147449,1560000674,527147409,527147409,1145651056,527147123,527147123,12000272,527145878,527145878,42,527143780,527143780,,,,,,,,,,,,,,,
add_throughput_4,warm,basic,3,0,12000000,128,1536000000,301081583,137172580,4,4,0,0,4608000004,398717613,137197790,137197790,1560000683,137198498,137198498,297692230,137198035,137198035,12000272,137196743,137196743,28,137194633,137194633,,,,,,,,,,,,,,,
add_latency,warm,basic,3,0,8,128,1024,792,419,4,4,0,0,3073,2428,20212,20212,1714,19265,19265,2376,18035,18035,280,16330,16330,20,13825,13825,,,,,,,,,,,,,,,
add_latency,warm,basic,4,0,800,128,102400,77698,35463,4,4,0,0,307201,103726,56592,56592,104674,55719,55719,79090,54189,54189,1072,52137,52137,23,49157,49157,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,4,0,12000000,128,1536000000,1164952912,530750776,4,4,0,0,9257036380270100488,1536818713,530774129,530774129,1560000702,530775051,530775051,1164216438,530774708,530774708,12000272,530773450,530773450,23,530771602,530771602,,,,,,,,,,,,,,,
empty,warm,basic,4,0,800,0,0,719,390,4,4,0,0,0,2355,20263,20263,2274,19280,19280,2332,18070,18070,1072,16360,16360,27,13908,13908,,,,,,,,,,,,,,,
add_throughput_8,warm,basic,4,0,12000000,128,1536000000,294879224,134346855,4,4,0,0,4608000008,396459491,134372132,134372132,1560000703,134371761,134371761,293349694,134371227,134371227,12000272,134369947,134369947,23,134367645,134367645,,,,,,,,,,,,,,,
